Name,ShortName,ModeAndPID,Equation,Min Value,Max Value,Units,Header,startDiagnostic,stopDiagnostic
COM Engine Speed 1100 RPM,RPM 1100,AE144000890000,,,,,"7,00E+00",,
COM Engine Speed 1200 RPM,RPM 1200,AE144000960000,,,,,"7,00E+00",,
COM Engine Speed 1300 RPM,RPM 1300,AE144000A20000,,,,,"7,00E+00",,
COM Engine Speed 1400 RPM,RPM 1400,AE144000AF0000,,,,,"7,00E+00",,
COM Engine Speed 1500 RPM,RPM 1500,AE144000BB0000,,,,,"7,00E+00",,
COM Engine Speed 2000 RPM,RPM 2000,AE144000FA0000,,,,,"7,00E+00",,
COM Engine Speed 900 RPM,RPM 900,AE144000700000,,,,,"7,00E+00",,
COM Release Control,Release,AE00,,,,,"7,00E+00",,
COM EGR Bypass Valve Closed,EGR Byp Cls,AE230100000000 ,A,,,,"7,00E+00",,
COM EGR Bypass Valve Open,EGR Byp Opn,AE230100FF0000 ,A,,,,"7,00E+00",,
COM Fuel Pressure Regulator On,FPR On,AE1A6000000000,,,,,"7,00E+00",,
COM Fuel Pressure Regulator Off,FPR Off,AE1A4000000000,,,,,"7,00E+00",,
COM Water Pump Clutch Relay On,Pump On,AE231800000000 ,A,,,,"7,00E+00",,
COM Water Pump Clutch Relay Off,Pump Off,AE231000000000 ,A,,,,"7,00E+00",,
COM Glow Plug 1,Glow 1,AE1B3080000000,,,,,"7,00E+00",,
COM Glow Plug 2,Glow 2,AE1B3040000000,,,,,"7,00E+00",,
COM Glow Plug 3,Glow 3,AE1B3020000000,,,,,"7,00E+00",,
COM Glow Plug 4,Glow 4,AE1B3010000000,,,,,"7,00E+00",,
COM Glow Plugs Off,Glow Off,AE1B20F0000000,,,,,"7,00E+00",,
COM Fuel Pump On,Fuel Pmp On,AE180800080000 ,A,,,,"7,00E+00",,
COM Fuel Pump Off,Fuel Pmp Off,AE180000080000 ,A,,,,"7,00E+00",,
COM Turbo Vane Position 10%,Turbo 10%,AE111000000019,,,,,"7,00E+00",,
COM Turbo Vane Position 20%,Turbo 20%,AE111000000033,,,,,"7,00E+00",,
COM Turbo Vane Position 30%,Turbo 30%,AE11100000004C,,,,,"7,00E+00",,
COM Turbo Vane Position 90%,Turbo 90%,AE1110000000E5,,,,,"7,00E+00",,
COM Turbo Vane Actuator 10%,T Act 10%,AE112000001900,,,,,"7,00E+00",,
COM Turbo Vane Actuator 20%,T Act 20%,AE112000003300,,,,,"7,00E+00",,
COM Turbo Vane Actuator 30%,T Act 30%,AE112000004C00,,,,,"7,00E+00",,
COM Turbo Vane Actuator 40%,T Act 40%,AE112000006600,,,,,"7,00E+00",,
COM Turbo Vane Actuator 50%,T Act 50%,AE112000007F00,,,,,"7,00E+00",,
COM Turbo Vane Actuator 60%,T Act 60%,AE112000009900,,,,,"7,00E+00",,
COM Turbo Vane Actuator 70%,T Act 70%,AE11200000B200,,,,,"7,00E+00",,
COM A/C Compressor Clutch On,A/C On,AE203000000000,A,,,,"7,00E+00",,
COM A/C Compressor Clutch Off,A/C Off,AE202000000000,A,,,,"7,00E+00",,
COM AdBlue Tank Heater On,AdB Htr On,AE2400000C0000,,,,,"7,00E+00",,
COM AdBlue Tank Heater Off,AdB Htr Off,AE240000080000,,,,,"7,00E+00",,
COM AdBlue Line Heater On,AdB Line On,AE240000030000,,,,,"7,00E+00",,
COM AdBlue Line Heater Off,AdB Line Off,AE240000020000,,,,,"7,00E+00",,
COM AdBlue Pump Clockwise,AdB Pump CW,AE24000200007F,,,,,"7,00E+00",,
COM AdBlue Pump Counter-Clockwise,AdB Pump CCW,AE240002000020,,,,,"7,00E+00",,
COM AdBlue Pump Stop,AdB Pump Stop,AE240002000000,,,,,"7,00E+00",,
COM AdBlue Leak Test On,AdB Leak On,AE240000003000,,,,,"7,00E+00",,
COM AdBlue Leak Test Off,AdB Leak Off,AE240000002000,,,,,"7,00E+00",,
COM AdBlue Relay 1 and 2 On,AdB Rly 1&2,AE240000000300,,,,,"7,00E+00",,
COM AdBlue Relay 1 and 2 Off,AdB Rly Off,AE240000000200,,,,,"7,00E+00",,
COM AdBlue Injector On,AdB Inj On,AE24000000C000,,,,,"7,00E+00",,
COM AdBlue Injector Off,AdB Inj Off,AE240000008000,,,,,"7,00E+00",,
COM Engine DTC Clear,DTC Clear,4,,,,,"7,00E+00",,
BCM Tester Present,BCM Tester,3E,A,0,100,,241,ATCRA641,ATCRA7E8
COM BCM Wipers High Speed,Wipers High,AE038000040000,,,,,241,ATCRA641,ATCRA7E8
COM BCM Wipers Low Speed,Wipers Low,AE038000030000,,,,,241,ATCRA641,ATCRA7E8
COM BCM Wipers Stop,Wipers Stop,AE038000000000,,,,,241,ATCRA641,ATCRA7E8
COM BCM Wipers Park,Wipers Park,AE038000020000,,,,,241,ATCRA641,ATCRA7E8
COM BCM Rear Left Turn Signal,R L Turn,AE022020000000,,,,,241,ATCRA641,ATCRA7E8
COM BCM Rear Right Turn Signal,R R Turn,AE028080000000,,,,,241,ATCRA641,ATCRA7E8
COM BCM Rear Wiper On,R Wiper On,AE032020000000,,,,,241,ATCRA641,ATCRA7E8
COM BCM Rear Wiper Off,R Wiper Off,AE032000000000,,,,,241,ATCRA641,ATCRA7E8
COM BCM Reverse Light,Reverse,AE020000080800,,,,,241,ATCRA641,ATCRA7E8
COM BCM Rear Fog Light,R Fog Light,AE020000101000,,,,,241,ATCRA641,ATCRA7E8
COM BCM Window Lock Indicator On,Win Lock Ind,AE3C0101000000,,,,,241,ATCRA641,ATCRA7E8
COM BCM Window Lock Indicator Off,Win Lock Off,AE3C0100000000,,,,,241,ATCRA641,ATCRA7E8
COM BCM Alarm Indicator On,Alarm Ind On,AE120202000000,,,,,241,ATCRA641,ATCRA7E8
COM BCM Alarm Indicator Off,Alarm Ind Off,AE120200000000,,,,,241,ATCRA641,ATCRA7E8
COM BCM Start/Stop Indicator On,S/S Ind On,AE0B40400000,,,,,241,ATCRA641,ATCRA7E8
COM BCM Start/Stop Indicator Off,S/S Ind Off,AE0B40000000,,,,,241,ATCRA641,ATCRA7E8
COM BCM Left Headlight,L Headlight,AE060180000000,,,,,241,ATCRA641,ATCRA7E8
COM BCM Brake Pedal Learn,Brk Ped Lrn,AE050101000000,,,,,241,ATCRA641,ATCRA7E8
COM BCM Rear Washer On,R Wash On,AE034040000000,,,,,241,ATCRA641,ATCRA7E8
COM BCM Rear Washer Off,R Wash Off,AE034000000000,,,,,241,ATCRA641,ATCRA7E8
COM BCM Washer Pump On,Washer On,AE030808000000,,,,,241,ATCRA641,ATCRA7E8
COM BCM Washer Pump Off,Washer Off,AE030800000000,,,,,241,ATCRA641,ATCRA7E8
COM BCM Headlight Washer On,HL Wash On,AE030404000000,,,,,241,ATCRA641,ATCRA7E8
COM BCM Headlight Washer Off,HL Wash Off,AE030400000000,,,,,241,ATCRA641,ATCRA7E8
COM BCM Hazard Lights Illumination On,Haz Illum On,AE0A0180000000,,,,,241,ATCRA641,ATCRA7E8
COM BCM Hazard Lights Illumination Off,Haz Illum Off,AE0A0100000000,,,,,241,ATCRA641,ATCRA7E8
COM BCM Trunk Light On,Trunk On,AE1C0180000000,,,,,241,ATCRA641,ATCRA7E8
COM BCM Trunk Light Off,Trunk Off,AE1C0100000000,,,,,241,ATCRA641,ATCRA7E8
COM BCM Spot Light 1 On,Spot 1 On,AE1B0180000000,,,,,241,ATCRA641,ATCRA7E8
COM BCM Spot Light 1 Off,Spot 1 Off,AE1B0100000000,,,,,241,ATCRA641,ATCRA7E8
COM BCM Spot Light 2 On,Spot 2 On,AE1B0200008000,,,,,241,ATCRA641,ATCRA7E8
COM BCM Spot Light 2 Off,Spot 2 Off,AE1B0200000000,,,,,241,ATCRA641,ATCRA7E8
COM BCM Parasitic Load Light On,Load Light On,AE0C0101000000,,,,,241,ATCRA641,ATCRA7E8
COM BCM Parasitic Load Light Off,Load Light Off,AE0C0100000000,,,,,241,ATCRA641,ATCRA7E8
COM BCM Instrument Cluster Light On,Dash Light On,AE090200008000,,,,,241,ATCRA641,ATCRA7E8
COM BCM Instrument Cluster Light Off,Dash Light Off,AE090200000000,,,,,241,ATCRA641,ATCRA7E8
COM BCM Interior Light On,Int Light On,AE080180000000,,,,,241,ATCRA641,ATCRA7E8
COM BCM Interior Light Off,Int Light Off,AE080100000000,,,,,241,ATCRA641,ATCRA7E8
COM BCM Front Fog Lights,F Fog Lights,AE020000404000,,,,,241,ATCRA641,ATCRA7E8
COM BCM Front Left Parking Light,F L Park,AE070180000000,,,,,241,ATCRA641,ATCRA7E8
COM BCM Front Left Turn Signal,F L Turn,AE021010000000,,,,,241,ATCRA641,ATCRA7E8
COM BCM Front Right Parking Light,F R Park,AE070200008000,,,,,241,ATCRA641,ATCRA7E8
COM BCM Front Right Turn Signal,F R Turn,AE024040000000,,,,,241,ATCRA641,ATCRA7E8
COM BCM License Plate Light,Plate Light,AE0F0404000000,,,,,241,ATCRA641,ATCRA7E8
COM BCM Right Headlight,R Headlight,AE060200008000,,,,,241,ATCRA641,ATCRA7E8
COM BCM Cigar Lighter On,Cigar On,AE040101000000,,,,,241,ATCRA641,ATCRA7E8
COM BCM Cigar Lighter Off,Cigar Off,AE040100000000,,,,,241,ATCRA641,ATCRA7E8
COM BCM Aux Ignition Relay On,Aux Ign On,AE040808000000,,,,,241,ATCRA641,ATCRA7E8
COM BCM Aux Ignition Relay Off,Aux Ign Off,AE040800000000,,,,,241,ATCRA641,ATCRA7E8
COM BCM Starter/Turn Relay On,Start Rly On,AE040404000000,,,,,241,ATCRA641,ATCRA7E8
COM BCM Starter/Turn Relay Off,Start Rly Off,AE040400000000,,,,,241,ATCRA641,ATCRA7E8
COM BCM Battery Load Shed Relay On,Batt Shed On,AE044040000000,,,,,241,ATCRA641,ATCRA7E8
COM BCM Battery Load Shed Relay Off,Batt Shed Off,AE042020000000,,,,,241,ATCRA641,ATCRA7E8
COM BCM Center Stop Light,C Stop Light,AE020000202000,,,,,241,ATCRA641,ATCRA7E8
COM BCM High Beam Shutter,Hi Beam Sh,AE020000020200,,,,,241,ATCRA641,ATCRA7E8
EPB Tester Present,EPB Tester,3E,A,0,100,,254,ATCRA654,ATCRA7E8
COM EPB Cable Replacement Procedure,EPB Repl,AE0102,,,,,254,ATCRA654,ATCRA7E8
COM EPB Service Apply,EPB Apply,AE0108,,,,,254,ATCRA654,ATCRA7E8
COM EPB Service Release,EPB Release,AE0110,,,,,254,ATCRA654,ATCRA7E8
COM ABS Auto Brake Bleed,Brk Bleed,AE010300C000FF,,,,,243,ATCRA643,ATCRA7E8
COM ABS Pump Motor On,ABS Pump On,AE020000030000,,,,,243,ATCRA643,ATCRA7E8
COM ABS Pump Motor Off,ABS Pump Off,AE020000010000,,,,,243,ATCRA643,ATCRA7E8
COM ABS Pump Motor Command 12,ABS Cmd 12,AE0102000000B4,,,,,243,ATCRA643,ATCRA7E8
COM ABS Pump Motor Command 6,ABS Cmd 6,AE01020000005A,,,,,243,ATCRA643,ATCRA7E8
COM ABS Pump Motor Command 0,ABS Cmd 0,AE010200000000,,,,,243,ATCRA643,ATCRA7E8
COM ABS DTC Clear,ABS DTC Clr,4,,,,,243,,
COM STEER DTC Clear,EPS DTC Clr,4,,,,,242,,
COM BCM DTC Clear,BCM DTC Clr,4,,,,,241,,
COM Fuel Heater On,Fuel Htr On,AE1B0300000000,,,,,"7,00E+00",,
COM Fuel Heater Off,Fuel Htr Off,AE1B0200000000,,,,,"7,00E+00",,
COM AT DTC Clear,AT DTC Clr,4,,,,,,,
COM B20DTH Fan On,Fan On,AE2520E6000000 ,,,,,"7,00E+00",,
COM B20DTH Fan Off,Fan Off,AE2500E6000000,,,,,"7,00E+00",,
